rank,seller_id,orders,reviewed_orders,mean_score,bad_reviews,canceled_orders,late_rate,revenue,bad_share,cancel_rate,bad_share_lower_bound,seller_state,seller_city
192,7202e2ba20579a9bd1acb29e61fe71f6,53,52,3.865,10,0,0.0417,12750.5,0.1923,0.0,0.108,SP,franca
193,f262cbc1c910c83959f849465454ddd3,192,191,4.141,29,1,0.0757,10482.83,0.1518,0.0052,0.1078,SP,sao paulo
194,7aa4334be125fcdd2ba64b3180029f14,217,215,4.102,32,0,0.1174,16234.81,0.1488,0.0,0.1074,SP,laranjal paulista
195,5b179e9e8cc7ab6fd113a46ca584da81,34,33,3.667,7,0,0.0588,5173.5,0.2121,0.0,0.1067,SP,sao paulo
196,276677b5d08786d5dce7c2149dcce48b,33,33,3.909,7,0,0.069,3522.0,0.2121,0.0,0.1067,MG,belo horizonte
197,a416b6a846a11724393025641d4edd5e,162,162,4.154,25,5,0.1097,25670.72,0.1543,0.0309,0.1067,SP,sao paulo
198,e21a1e8be4715b0fcfd5385643bc49c4,21,21,3.667,5,0,0.0,703.6,0.2381,0.0,0.1063,SC,jaguaruna
199,845e8036c3f7bf62099352f5ed910240,21,21,3.952,5,0,0.0,1584.6,0.2381,0.0,0.1063,RJ,rio de janeiro
200,784ba75dd9d20200c4caed3d7a77141a,21,21,3.81,5,1,0.1053,8295.13,0.2381,0.0476,0.1063,SP,sao paulo
201,af3ef48d0e13835e529c29ac573c63e5,21,21,3.762,5,0,0.0476,1405.63,0.2381,0.0,0.1063,SP,araraquara
202,d97df38225e5abadaff1e72cb72b823c,29,27,3.926,6,0,0.1429,1846.0,0.2222,0.0,0.1061,SP,sao caetano do sul
203,7178f9f4dd81dcef02f62acdf8151e01,203,202,4.045,30,0,0.0347,37070.4,0.1485,0.0,0.106,SC,videira
204,05f51e13da97139648b8125c31e5f51b,60,60,4.067,11,0,0.1579,13769.01,0.1833,0.0,0.1056,MG,belo horizonte
205,f80edd2c5aaa505cc4b0a3b219abf4b8,119,118,4.085,19,1,0.0526,9108.2,0.161,0.0084,0.1056,SP,sao paulo
206,46dc3b2cc0980fb8ec44634e21d2718e,521,515,4.194,68,3,0.058,128111.19,0.132,0.0058,0.1055,RJ,rio de janeiro
